gene_name,gene_biotype,chromosome,strand,transcript_count
SLC22A16,protein_coding,chr6,-,8
ZMYND10,protein_coding,chr3,-,9
ABCB5,protein_coding,chr7,+,6
ARX,protein_coding,chrX,-,5
SLC25A13,protein_coding,chr7,-,8
ST7,protein_coding,chr7,+,31
CDC27,protein_coding,chr17,-,19
SLC4A1,protein_coding,chr17,-,6
CALCR,protein_coding,chr7,-,7
HCCS,protein_coding,chrX,+,3
DVL2,protein_coding,chr17,-,15
PRSS22,protein_coding,chr16,-,8
UPF1,protein_coding,chr19,+,13
SKAP2,protein_coding,chr7,-,9
SLC25A5,protein_coding,chrX,+,4
CCDC109B,protein_coding,chr4,+,5
HOXA11,protein_coding,chr7,-,2
POLR2J,protein_coding,chr7,-,2
DHX33,protein_coding,chr17,-,5
MEOX1,protein_coding,chr17,-,4
THSD7A,protein_coding,chr7,-,5
LIG3,protein_coding,chr17,+,16
RPAP3,protein_coding,chr12,-,7
ACSM3,protein_coding,chr16,+,15
AC004381.6,protein_coding,chr16,+,19
CIAPIN1,protein_coding,chr16,-,15
SPPL2B,protein_coding,chr19,+,14
FAM214B,protein_coding,chr9,-,9
COPZ2,protein_coding,chr17,-,10
PRKAR2B,protein_coding,chr7,+,3
MSL3,protein_coding,chrX,+,17
CREBBP,protein_coding,chr16,-,20
TSPOAP1,protein_coding,chr17,-,11
MPO,protein_coding,chr17,-,5
PON1,protein_coding,chr7,-,4
GCFC2,protein_coding,chr2,-,11
WDR54,protein_coding,chr2,+,13
CROT,protein_coding,chr7,+,7
ABCB4,protein_coding,chr7,-,10
KMT2E,protein_coding,chr7,+,16
RHBDD2,protein_coding,chr7,+,9
SOX8,protein_coding,chr16,+,2
IBTK,protein_coding,chr6,-,10
ZNF195,protein_coding,chr11,-,30
MYCBP2,protein_coding,chr13,-,12
FBXL3,protein_coding,chr13,-,6
ITGAL,protein_coding,chr16,+,19
PDK2,protein_coding,chr17,+,16
ITGA3,protein_coding,chr17,+,16
ZFX,protein_coding,chrX,+,11
LAMP2,protein_coding,chrX,-,4
ITGA2B,protein_coding,chr17,-,10
ASB4,protein_coding,chr7,+,3
GDE1,protein_coding,chr16,-,5
C19orf60,protein_coding,chr19,+,8
CRLF1,protein_coding,chr19,-,5
OSBPL7,protein_coding,chr17,-,11
TMEM98,protein_coding,chr17,+,9
YBX2,protein_coding,chr17,-,7
KRT33A,protein_coding,chr17,-,1
MAP3K14,protein_coding,chr17,-,5
ABCC8,protein_coding,chr11,-,21
CACNG3,protein_coding,chr16,+,1
TMEM132A,protein_coding,chr11,+,14
AP2B1,protein_coding,chr17,+,22
TAC1,protein_coding,chr7,+,5
ZNF263,protein_coding,chr16,+,8
CX3CL1,protein_coding,chr16,+,4
SPATA20,protein_coding,chr17,+,28
CACNA1G,protein_coding,chr17,+,34
TNFRSF12A,protein_coding,chr16,+,7
DLX6,protein_coding,chr7,+,3
MAP3K9,protein_coding,chr14,-,7
RALA,protein_coding,chr7,+,5
BAIAP2L1,protein_coding,chr7,-,5
KDM7A,protein_coding,chr7,-,3
ETV1,protein_coding,chr7,-,23
AGK,protein_coding,chr7,+,11
ALDH3B1,protein_coding,chr11,+,10
TTC22,protein_coding,chr1,-,5
PHTF2,protein_coding,chr7,+,12
CCL26,protein_coding,chr7,-,2
FARP2,protein_coding,chr2,+,23
USH1C,protein_coding,chr11,-,11
GGCT,protein_coding,chr7,-,8
DBF4,protein_coding,chr7,+,8
TBXA2R,protein_coding,chr19,-,4
IFRD1,protein_coding,chr7,+,17
LGALS14,protein_coding,chr19,+,3
COX10,protein_coding,chr17,+,4
GTF2IRD1,protein_coding,chr7,+,7
PAF1,protein_coding,chr19,-,8
VPS41,protein_coding,chr7,-,14
ARHGAP44,protein_coding,chr17,+,12
ELAC2,protein_coding,chr17,-,21
SCIN,protein_coding,chr7,+,10
ARSD,protein_coding,chrX,-,7
PNPLA4,protein_coding,chrX,-,4
MYH13,protein_coding,chr17,-,3
ADIPOR2,protein_coding,chr12,+,7
CDKL3,protein_coding,chr5,-,10
UPP2,protein_coding,chr2,+,4
PRSS21,protein_coding,chr16,+,10
MARK4,protein_coding,chr19,+,11
PROM1,protein_coding,chr4,-,20
CCDC124,protein_coding,chr19,+,4
CEACAM21,protein_coding,chr19,+,7
PAFAH1B1,protein_coding,chr17,+,13
NOS2,protein_coding,chr17,-,2
DNAH9,protein_coding,chr17,+,15
KIAA0100,protein_coding,chr17,-,16
SLC13A2,protein_coding,chr17,+,7
GAS7,protein_coding,chr17,-,19
TRAPPC6A,protein_coding,chr19,-,5
MATK,protein_coding,chr19,-,15
CEACAM7,protein_coding,chr19,-,4
CD79B,protein_coding,chr17,-,6
SCN4A,protein_coding,chr17,-,4
ST7L,protein_coding,chr1,-,28
TKTL1,protein_coding,chrX,+,8
PAX6,protein_coding,chr11,-,31
RPUSD1,protein_coding,chr16,-,10
RHBDF1,protein_coding,chr16,-,11
LUC7L,protein_coding,chr16,-,21
CACNA2D2,protein_coding,chr3,-,8
BAIAP3,protein_coding,chr16,+,16
TSR3,protein_coding,chr16,-,2
PIGQ,protein_coding,chr16,+,25
CRAMP1,protein_coding,chr16,+,8
TEAD3,protein_coding,chr6,-,3
SELE,protein_coding,chr1,-,7
DNAJC11,protein_coding,chr1,-,11
FMO3,protein_coding,chr1,+,6
MYLIP,protein_coding,chr6,+,2
NOX1,protein_coding,chrX,-,5
E2F2,protein_coding,chr1,-,2
PSMB1,protein_coding,chr6,-,2
SYN1,protein_coding,chrX,-,2
JARID2,protein_coding,chr6,+,3
CDKL5,protein_coding,chrX,+,11
CAMK1G,protein_coding,chr1,+,4
CDK11A,protein_coding,chr1,-,23
NADK,protein_coding,chr1,-,17
TFAP2B,protein_coding,chr6,+,3
TFAP2D,protein_coding,chr6,+,2
DLEC1,protein_coding,chr3,+,7
CYTH3,protein_coding,chr7,-,11
ADAM22,protein_coding,chr7,+,11
SYPL1,protein_coding,chr7,-,7
CYB561,protein_coding,chr17,-,21
SPAG9,protein_coding,chr17,-,22
CELSR3,protein_coding,chr3,-,5
AASS,protein_coding,chr7,-,7
PLEKHG6,protein_coding,chr12,+,9
SS18L2,protein_coding,chr3,+,3
MPND,protein_coding,chr19,+,8
MGST1,protein_coding,chr12,+,19
CRY1,protein_coding,chr12,-,5
PGLYRP1,protein_coding,chr19,-,1
NFIX,protein_coding,chr19,+,14
ST3GAL1,protein_coding,chr8,-,15
MMP25,protein_coding,chr16,+,4
IL32,protein_coding,chr16,+,35
PKD1,protein_coding,chr16,-,41
MAPK8IP2,protein_coding,chr22,+,2
MED24,protein_coding,chr17,-,35
RHOBTB2,protein_coding,chr8,+,8
HEATR5B,protein_coding,chr2,-,5
SEC62,protein_coding,chr3,+,10
RPS20,protein_coding,chr8,-,12
CSDE1,protein_coding,chr1,-,18
UBE3C,protein_coding,chr7,+,9
REV3L,protein_coding,chr6,-,14
TENM1,protein_coding,chrX,-,3
PAX7,protein_coding,chr1,+,3
MASP2,protein_coding,chr1,-,4
IYD,protein_coding,chr6,+,9
FAM76A,protein_coding,chr1,+,7
TRAF3IP3,protein_coding,chr1,+,16
POMT2,protein_coding,chr14,-,23
VTA1,protein_coding,chr6,+,5
MLXIPL,protein_coding,chr7,-,11
BAZ1B,protein_coding,chr7,-,3
RANBP9,protein_coding,chr6,-,2
ETV7,protein_coding,chr6,-,8
SPRTN,protein_coding,chr1,+,6
METTL13,protein_coding,chr1,+,7
DYRK4,protein_coding,chr12,+,17
ZNF207,protein_coding,chr17,+,18
UQCRC1,protein_coding,chr3,-,10
STARD3NL,protein_coding,chr7,+,7
CD9,protein_coding,chr12,+,12
HHATL,protein_coding,chr3,-,12
NCAPD2,protein_coding,chr12,+,13
IFFO1,protein_coding,chr12,-,12
GIPR,protein_coding,chr19,+,8
PHF7,protein_coding,chr3,+,11
SEMA3G,protein_coding,chr3,-,3
NISCH,protein_coding,chr3,+,14
STAB1,protein_coding,chr3,+,9
FUZ,protein_coding,chr19,-,18
SLC6A13,protein_coding,chr12,-,12
IDS,protein_coding,chrX,-,8
PRSS3,protein_coding,chr9,+,8
ZNF200,protein_coding,chr16,-,10
CD4,protein_coding,chr12,+,12
LRRC23,protein_coding,chr12,+,15
BTK,protein_coding,chrX,-,10
HFE,protein_coding,chr6,+,14
SCMH1,protein_coding,chr1,-,17
FYN,protein_coding,chr6,-,29
HIVEP2,protein_coding,chr6,-,4
FMO1,protein_coding,chr1,+,9
TCEB3,protein_coding,chr1,+,4
LYPLA2,protein_coding,chr1,+,10
CLCN6,protein_coding,chr1,+,8
MRC2,protein_coding,chr17,+,7
NME1-NME2,protein_coding,chr17,+,3
SLC6A7,protein_coding,chr5,+,3
TSPAN9,protein_coding,chr12,+,7
BTBD7,protein_coding,chr14,-,8
APBA3,protein_coding,chr19,-,8
MKS1,protein_coding,chr17,-,13
ABHD5,protein_coding,chr3,+,7
ANOS1,protein_coding,chrX,-,3
AKAP8L,protein_coding,chr19,-,20
MBTD1,protein_coding,chr17,-,7
UTP18,protein_coding,chr17,+,7
RNF216,protein_coding,chr7,-,9
TTC19,protein_coding,chr17,+,10
PTBP1,protein_coding,chr19,+,22
DPF1,protein_coding,chr19,-,17
SYT7,protein_coding,chr11,-,10
LARS2,protein_coding,chr3,+,8
PIK3C2A,protein_coding,chr11,-,5
PLAUR,protein_coding,chr19,-,16
ANLN,protein_coding,chr7,+,13
WIZ,protein_coding,chr19,-,8
RABGAP1,protein_coding,chr9,+,13
DCN,protein_coding,chr12,-,20
QPCTL,protein_coding,chr19,+,4
PPP5C,protein_coding,chr19,+,15
CEP68,protein_coding,chr2,+,5
MAP4K3,protein_coding,chr2,-,13
ZBTB32,protein_coding,chr19,+,6
TYROBP,protein_coding,chr19,-,9
TMEM159,protein_coding,chr16,+,9
GABRA3,protein_coding,chrX,-,4
BRCA1,protein_coding,chr17,-,30
ERCC1,protein_coding,chr19,-,17
CD22,protein_coding,chr19,+,35
SEMA3B,protein_coding,chr3,+,16
MBTPS2,protein_coding,chrX,+,3
PRICKLE3,protein_coding,chrX,-,8
LTF,protein_coding,chr3,-,9
EXTL3,protein_coding,chr8,+,14
NR1H4,protein_coding,chr12,+,9
ELOVL5,protein_coding,chr6,-,7
ALOX5,protein_coding,chr10,+,8
KDM5D,protein_coding,chrY,-,10
CALCOCO1,protein_coding,chr12,-,22
UBR7,protein_coding,chr14,+,7
MAP4K5,protein_coding,chr14,-,10
EHD3,protein_coding,chr2,+,1
PSMC4,protein_coding,chr19,+,6
MAN2B2,protein_coding,chr4,+,5
SLC7A14,protein_coding,chr3,-,2
CLDN11,protein_coding,chr3,+,9
SLC25A39,protein_coding,chr17,-,17
MVP,protein_coding,chr16,+,19
NUB1,protein_coding,chr7,+,12
PGM3,protein_coding,chr6,-,15
RWDD2A,protein_coding,chr6,+,1
CLK1,protein_coding,chr2,-,15
POLR3B,protein_coding,chr12,+,4
ANGEL1,protein_coding,chr14,-,6
RNF14,protein_coding,chr5,+,16
DNASE1L1,protein_coding,chrX,-,12
DDX11,protein_coding,chr12,+,30
HEBP1,protein_coding,chr12,-,4
GPRC5A,protein_coding,chr12,+,6
MAMLD1,protein_coding,chrX,+,7
CD6,protein_coding,chr11,+,14
TACC3,protein_coding,chr4,+,13
UFL1,protein_coding,chr6,+,2
POLA2,protein_coding,chr11,+,8
ZC3H3,protein_coding,chr8,-,2
CAPN1,protein_coding,chr11,+,28
ACPP,protein_coding,chr3,+,9
MDH1,protein_coding,chr2,+,16
SLC30A9,protein_coding,chr4,+,5
MTMR11,protein_coding,chr1,-,10
COX15,protein_coding,chr10,-,3
CCDC88C,protein_coding,chr14,-,14
YAF2,protein_coding,chr12,-,19
ZMYND11,protein_coding,chr10,+,17
WAS,protein_coding,chrX,+,7
DPEP1,protein_coding,chr16,+,9
BID,protein_coding,chr22,-,15
MATR3,protein_coding,chr5,+,27
NPC1L1,protein_coding,chr7,-,4
XYLT2,protein_coding,chr17,+,7
RGPD5,protein_coding,chr2,+,13
STMN4,protein_coding,chr8,-,7
NUDCD3,protein_coding,chr7,-,11
ISL1,protein_coding,chr5,+,3
CHDH,protein_coding,chr3,-,3
IL20RA,protein_coding,chr6,-,8
CLCA1,protein_coding,chr1,+,2
CLCA4,protein_coding,chr1,+,2
GLT8D1,protein_coding,chr3,-,16
ATP2C1,protein_coding,chr3,+,24
IGF1,protein_coding,chr12,-,7
SLC38A5,protein_coding,chrX,-,14
RALBP1,protein_coding,chr18,+,5
RUFY3,protein_coding,chr4,+,15
CNTN1,protein_coding,chr12,+,11
SLC11A1,protein_coding,chr2,+,18
WWTR1,protein_coding,chr3,-,12
AGPS,protein_coding,chr2,+,4
CXorf56,protein_coding,chrX,-,3
ATP1A2,protein_coding,chr1,+,8
TTC27,protein_coding,chr2,+,6
ZNF582,protein_coding,chr19,-,7
VSIG2,protein_coding,chr11,-,2
PHLDB1,protein_coding,chr11,+,30
MARCO,protein_coding,chr2,+,3
CYP24A1,protein_coding,chr20,-,6
PRDM11,protein_coding,chr11,+,6
SYT13,protein_coding,chr11,-,3
SNAI2,protein_coding,chr8,-,2
CD74,protein_coding,chr5,-,12
HGF,protein_coding,chr7,-,10
ZRANB1,protein_coding,chr10,+,2
NCDN,protein_coding,chr1,+,6
ADGRA2,protein_coding,chr8,+,3
ZFP64,protein_coding,chr20,-,12
MNAT1,protein_coding,chr14,+,9
SAMD4A,protein_coding,chr14,+,13
RUNX3,protein_coding,chr1,-,5
MRE11A,protein_coding,chr11,-,10
PLEKHB1,protein_coding,chr11,+,22
SERPINB1,protein_coding,chr6,-,5
CYP3A43,protein_coding,chr7,+,17
SLC7A9,protein_coding,chr19,-,6
SPAST,protein_coding,chr2,+,4
NRXN3,protein_coding,chr14,+,18
OSBPL5,protein_coding,chr11,-,19
AQR,protein_coding,chr15,-,6
CPS1,protein_coding,chr2,+,12
C8B,protein_coding,chr1,-,6
FHL1,protein_coding,chrX,+,33
RTFDC1,protein_coding,chr20,+,9
GABRA1,protein_coding,chr5,+,20
NLRP2,protein_coding,chr19,+,19
SLC45A4,protein_coding,chr8,-,6
RNF10,protein_coding,chr12,+,25
ZNF839,protein_coding,chr14,+,12
ZDHHC6,protein_coding,chr10,-,5
GRAMD1B,protein_coding,chr11,+,16
RNH1,protein_coding,chr11,-,24
NDUFS1,protein_coding,chr2,-,10
RB1CC1,protein_coding,chr8,-,10
ERP44,protein_coding,chr9,-,1
ALAS1,protein_coding,chr3,+,6
BIRC3,protein_coding,chr11,+,7
AKAP11,protein_coding,chr13,+,1
GLRX2,protein_coding,chr1,-,3
SNAPC1,protein_coding,chr14,+,1
DERA,protein_coding,chr12,+,10
STRAP,protein_coding,chr12,+,6
ABCC2,protein_coding,chr10,+,3
DEF6,protein_coding,chr6,+,3
PLEKHO1,protein_coding,chr1,+,9
GCLM,protein_coding,chr1,-,4
UBR2,protein_coding,chr6,+,3
EHD2,protein_coding,chr19,+,5
DEPDC1,protein_coding,chr1,-,5
CCDC28A,protein_coding,chr6,+,3
RRAGD,protein_coding,chr6,-,3
HSF2,protein_coding,chr6,+,3
PHF20,protein_coding,chr20,+,16
HSD17B6,protein_coding,chr12,+,10
NR1H3,protein_coding,chr11,+,35
TYMP,protein_coding,chr22,-,8
NCAPH2,protein_coding,chr22,+,10
TOMM34,protein_coding,chr20,-,1
SEC63,protein_coding,chr6,-,10
KPNA6,protein_coding,chr1,+,4
VIM,protein_coding,chr10,+,11
RTEL1-TNFRSF6B,protein_coding,chr20,+,4
FAS,protein_coding,chr10,+,17
RNASET2,protein_coding,chr6,-,14
CD44,protein_coding,chr11,+,38
KCNG1,protein_coding,chr20,-,6
AGPAT4,protein_coding,chr6,-,5
SLAMF7,protein_coding,chr1,+,11
BTN3A1,protein_coding,chr6,+,11
MIPEP,protein_coding,chr13,-,5
PRKCH,protein_coding,chr14,+,27
INSRR,protein_coding,chr1,-,1
IFNGR1,protein_coding,chr6,-,4
B4GALT7,protein_coding,chr5,+,8
SH2D2A,protein_coding,chr1,-,6
VRK2,protein_coding,chr2,+,9
TNFRSF1B,protein_coding,chr1,+,5
VEZT,protein_coding,chr12,+,41
POU2F2,protein_coding,chr19,-,20
BRD9,protein_coding,chr5,-,19
SNX1,protein_coding,chr15,+,14
TBPL1,protein_coding,chr6,+,8
ARNTL2,protein_coding,chr12,+,9
BCLAF1,protein_coding,chr6,-,23
SLC39A9,protein_coding,chr14,+,11
ANK1,protein_coding,chr8,-,14
IBSP,protein_coding,chr4,+,1
TFB1M,protein_coding,chr6,-,9
RABEP1,protein_coding,chr17,+,7
HMGB3,protein_coding,chrX,+,5
NUP160,protein_coding,chr11,-,11
BAK1,protein_coding,chr6,-,3
MUSK,protein_coding,chr9,+,7
IKZF2,protein_coding,chr2,-,14
GRN,protein_coding,chr17,+,21
FAM13B,protein_coding,chr5,-,11
ARHGAP31,protein_coding,chr3,+,2
CENPQ,protein_coding,chr6,+,1
SARS,protein_coding,chr1,+,6
RANBP3,protein_coding,chr19,-,30
ARID4A,protein_coding,chr14,+,11
TSSC1,protein_coding,chr2,-,14
PNPLA6,protein_coding,chr19,+,24
IFT88,protein_coding,chr13,+,7
ALG1,protein_coding,chr16,+,8
ZCCHC8,protein_coding,chr12,-,10
ABCF2,protein_coding,chr7,-,6
CHPF2,protein_coding,chr7,+,5
LRRC7,protein_coding,chr1,+,13
FUT8,protein_coding,chr14,+,15
UBA6,protein_coding,chr4,-,6
GAB2,protein_coding,chr11,-,7
ATP6V0A1,protein_coding,chr17,+,26
PIAS1,protein_coding,chr15,+,8
SLC4A7,protein_coding,chr3,-,18
APBA2,protein_coding,chr15,+,12
MAP2K3,protein_coding,chr17,+,15
EFCAB1,protein_coding,chr8,-,9
TMSB10,protein_coding,chr2,+,1
ASTE1,protein_coding,chr3,-,8
RNF19A,protein_coding,chr8,-,15
PEX3,protein_coding,chr6,+,3
GABARAPL2,protein_coding,chr16,+,5
MYOC,protein_coding,chr1,-,1
SH3YL1,protein_coding,chr2,-,29
FAM136A,protein_coding,chr2,-,6
VCL,protein_coding,chr10,+,8
DEPDC1B,protein_coding,chr5,-,6
DAPK2,protein_coding,chr15,-,13
NSMAF,protein_coding,chr8,-,17
ADSS,protein_coding,chr1,-,3
STAP1,protein_coding,chr4,+,2
TIMP2,protein_coding,chr17,-,5
RFC1,protein_coding,chr4,-,16
TBC1D23,protein_coding,chr3,+,9
CUL3,protein_coding,chr2,-,16
MYOM2,protein_coding,chr8,+,15
OTC,protein_coding,chrX,+,2
CYP46A1,protein_coding,chr14,+,7
ZZZ3,protein_coding,chr1,-,11
SLC18A1,protein_coding,chr8,-,10
USP2,protein_coding,chr11,-,7
CASR,protein_coding,chr3,+,1
TUBG2,protein_coding,chr17,+,3
RPL26L1,protein_coding,chr5,+,6
FLT4,protein_coding,chr5,-,12
NSUN2,protein_coding,chr5,-,9
FBXO42,protein_coding,chr1,-,4
MFAP3,protein_coding,chr5,+,12
MRI1,protein_coding,chr19,+,6
METTL1,protein_coding,chr12,-,8
HOXC8,protein_coding,chr12,+,1
AGA,protein_coding,chr4,-,6
PI4K2B,protein_coding,chr4,+,1
BOD1L1,protein_coding,chr4,-,6
MAT2B,protein_coding,chr5,+,8
TLL1,protein_coding,chr4,+,6
EDC4,protein_coding,chr16,+,14
TRIO,protein_coding,chr5,+,24
VCAN,protein_coding,chr5,+,12
CLEC16A,protein_coding,chr16,+,12
MSR1,protein_coding,chr8,-,14
CDH1,protein_coding,chr16,+,14
SKIV2L2,protein_coding,chr5,+,9
DNAH5,protein_coding,chr5,-,4
ZFYVE16,protein_coding,chr5,+,13
FAM65A,protein_coding,chr16,+,22
C6,protein_coding,chr5,-,8
RAI14,protein_coding,chr5,+,28
SOX30,protein_coding,chr5,-,3
PNKP,protein_coding,chr19,-,30
BEST2,protein_coding,chr19,+,4
PHLPP2,protein_coding,chr16,-,7
SPDL1,protein_coding,chr5,+,16
STAU2,protein_coding,chr8,-,29
PQLC2,protein_coding,chr1,+,6
CTNS,protein_coding,chr17,+,10
RTN4R,protein_coding,chr22,-,6
PHF23,protein_coding,chr17,-,13
CDH10,protein_coding,chr5,-,4
INPP4A,protein_coding,chr2,+,10
RAB27B,protein_coding,chr18,+,4
PSMA4,protein_coding,chr15,+,21
MYO16,protein_coding,chr13,+,7
LSG1,protein_coding,chr3,-,8
PARP3,protein_coding,chr3,+,9
TNC,protein_coding,chr9,-,14
THAP3,protein_coding,chr1,+,8
FAM65C,protein_coding,chr20,-,6
TDP1,protein_coding,chr14,+,17
AIFM2,protein_coding,chr10,-,4
C2orf83,protein_coding,chr2,-,2
SPATA7,protein_coding,chr14,+,22
MED17,protein_coding,chr11,+,11
RETSAT,protein_coding,chr2,-,7
CAPG,protein_coding,chr2,-,15
AP2S1,protein_coding,chr19,-,10
USH2A,protein_coding,chr1,-,4
ZPBP,protein_coding,chr7,-,6
TG,protein_coding,chr8,+,20
ADAM28,protein_coding,chr8,+,12
BARX2,protein_coding,chr11,+,2
DCUN1D1,protein_coding,chr3,-,8
JADE2,protein_coding,chr5,+,11
ZIC2,protein_coding,chr13,+,5
LCP2,protein_coding,chr5,-,10
TRIT1,protein_coding,chr1,-,15
ADRB1,protein_coding,chr10,+,1
GUCA2B,protein_coding,chr1,+,1
CUL7,protein_coding,chr6,-,3
CTNNA1,protein_coding,chr5,+,44
PHKA2,protein_coding,chrX,-,8
CNTLN,protein_coding,chr9,+,4
EPHA3,protein_coding,chr3,+,3
HSPA5,protein_coding,chr9,-,1
DSG2,protein_coding,chr18,+,2
GEMIN8,protein_coding,chrX,-,5
OFD1,protein_coding,chrX,+,9
GPM6B,protein_coding,chrX,-,11
MAGEC2,protein_coding,chrX,-,1
PREX2,protein_coding,chr8,+,5
WDR37,protein_coding,chr10,+,6
YTHDC2,protein_coding,chr5,+,7
CTPS2,protein_coding,chrX,-,5
ATP6V1H,protein_coding,chr8,-,20
POLR2B,protein_coding,chr4,+,12
FAM214A,protein_coding,chr15,-,16
ARAP2,protein_coding,chr4,-,10
TPR,protein_coding,chr1,-,9
CP,protein_coding,chr3,-,15
KIAA0556,protein_coding,chr16,+,10
DTNBP1,protein_coding,chr6,-,12
XK,protein_coding,chrX,+,1
ANO2,protein_coding,chr12,-,12
C12orf4,protein_coding,chr12,-,9
SCML1,protein_coding,chrX,+,7
WWC3,protein_coding,chrX,+,2
ARHGAP6,protein_coding,chrX,-,8
FAM184B,protein_coding,chr4,-,1
MAP4,protein_coding,chr3,-,16
GOPC,protein_coding,chr6,-,3
ROS1,protein_coding,chr6,-,3
USP28,protein_coding,chr11,-,15
HDAC9,protein_coding,chr7,+,29
TSPAN17,protein_coding,chr5,+,9
NOP16,protein_coding,chr5,-,11
CC2D2A,protein_coding,chr4,+,17
RRM2B,protein_coding,chr8,-,11
ZNF800,protein_coding,chr7,-,8
TNFRSF17,protein_coding,chr16,+,3
SNX29,protein_coding,chr16,+,8
LMO3,protein_coding,chr12,-,35
MRPS10,protein_coding,chr6,-,1
GUCA1A,protein_coding,chr6,+,5
RSF1,protein_coding,chr11,-,12
VPS13D,protein_coding,chr1,+,14
CELF2,protein_coding,chr10,+,17
FAM120A,protein_coding,chr9,+,5
R3HDM1,protein_coding,chr2,+,20
COL9A2,protein_coding,chr1,-,11
KITLG,protein_coding,chr12,-,6
ERCC8,protein_coding,chr5,-,8
ADAMTS6,protein_coding,chr5,-,8
H6PD,protein_coding,chr1,+,3
VAMP3,protein_coding,chr1,+,3
PER3,protein_coding,chr1,+,9
UTS2,protein_coding,chr1,-,3
TNFRSF9,protein_coding,chr1,-,4
EPN3,protein_coding,chr17,+,18
LTBP1,protein_coding,chr2,+,12
RCN1,protein_coding,chr11,+,11
ELN,protein_coding,chr7,+,34
RFC2,protein_coding,chr7,-,13
ARID1B,protein_coding,chr6,+,35
CLPTM1L,protein_coding,chr5,-,16
NEDD4L,protein_coding,chr18,+,38
FOXP3,protein_coding,chrX,-,6
PPP1R3F,protein_coding,chrX,+,5
HEXB,protein_coding,chr5,+,13
PTCD2,protein_coding,chr5,+,12
KIAA2022,protein_coding,chrX,-,3
JKAMP,protein_coding,chr14,+,15
DKK3,protein_coding,chr11,-,16
ARHGEF5,protein_coding,chr7,+,4
NFE2L3,protein_coding,chr7,+,3
MCUR1,protein_coding,chr6,-,3
LIMA1,protein_coding,chr12,-,16
LETMD1,protein_coding,chr12,+,38
SLC4A8,protein_coding,chr12,+,18
LAMC3,protein_coding,chr9,+,4
PTGER3,protein_coding,chr1,-,12
TNIP3,protein_coding,chr4,-,7
MAPK9,protein_coding,chr5,-,13
COL23A1,protein_coding,chr5,-,3
BCAR1,protein_coding,chr16,-,22
FAM160A2,protein_coding,chr11,-,5
HERPUD1,protein_coding,chr16,+,19
HOMER3,protein_coding,chr19,-,12
RAD51,protein_coding,chr15,+,10
POLQ,protein_coding,chr3,-,4
PIK3CB,protein_coding,chr3,-,14
CYBA,protein_coding,chr16,-,10
THOC3,protein_coding,chr5,-,12
HEBP2,protein_coding,chr6,+,4
MPHOSPH9,protein_coding,chr12,-,24
PLEKHA5,protein_coding,chr12,+,16
PRSS8,protein_coding,chr16,-,6
SIKE1,protein_coding,chr1,-,10
RRP12,protein_coding,chr10,-,15
FNIP2,protein_coding,chr4,+,6
MSMO1,protein_coding,chr4,+,5
TTC17,protein_coding,chr11,+,15
